School Name,School Number,Closed,School Street,School City,School Zip,Grade Low,Grade High,Enrollment,School Accreditations,District Name,District Number,District Enrollment,District Street,District City,District Zip,County Name,County Number,Region Name
June Shelton School and Evaluation Center,57295001,FALSE,17301 Preston Rd.,Dallas,75252,Pre-K,12,"1,047",ISAS : 2004 | ISAS : 2014 | ISAS : 2024,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Kid's Day Out Christian Learning Center,57220001,TRUE,1615 West Beltline Rd,Carrollton,75006,Early Education,Early Education,40,ACSI : 2007,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Kids R Kids No 10 Las Colinas,57101001,TRUE,2990 Regent Blvd,Irving,75063,Early Education,Kindergarten,0,COGNIA : 2011,MANARA ACADEMY,57844,458,8201 TRISTAR DR,IRVING,75063,Dallas,57,10
Kids R Kids No. 14 McKinney,57102001,FALSE,2910 W. Eldorado Pkwy,McKinney,75070,Pre-K,Pre-K,162,COGNIA : 2011,MCKINNEY ISD,43907,24443,#1 DUVALL ST,MCKINNEY,75069-3211,Dallas,57,10
Kids R Kids No. 36 West Frisco,57109001,FALSE,2660 Main St,Frisco,75034,Early Education,Kindergarten,192,COGNIA : 2011,FRISCO ISD,43905,42707,5515 OHIO DR,FRISCO,75035,Dallas,57,10
Kids R Kids No. 38 Westridge,57111001,FALSE,9070 Westridge,McKinney,75070,Early Education,Kindergarten,40,COGNIA : 2011,MCKINNEY ISD,43907,24443,#1 DUVALL ST,MCKINNEY,75069-3211,Dallas,57,10
Kids R Kids No. 58 Castle Hills,57105001,FALSE,4516 Maumee Dr,Carrollton,75010,Early Education,Kindergarten,292,COGNIA : 2011,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Kids R Kids No. 63 Richardson,57106001,FALSE,3521 North Star Rd,Richardson,75082,Early Education,Kindergarten,30,COGNIA : 2011,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Kids R Kids No. 64 Legacy West,57104001,FALSE,5365 Lebanon Rd,Frisco,75034,Early Education,Kindergarten,250,COGNIA : 2011,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Kids R Kids No.18 Frisco,57103001,FALSE,9155 Preston Vineyard Dr,Frisco,75035,Early Education,Kindergarten,205,COGNIA : 2011,FRISCO ISD,43905,42707,5515 OHIO DR,FRISCO,75035,Dallas,57,10
Kingdom Collegiate Academies,57208001,FALSE,1821 W Camp Wisdom Rd,Dallas,75232,Early Education,12,550,ACSI : 2000 | COGNIA : 2003,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Lakehill Preparatory School,57197001,FALSE,2720 Hillside DR,Dallas,75214,Kindergarten,12,380,ISAS : 1988 | ISAS : 1998 | ISAS : 2008 | ISAS : 2018,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Leading Little Arrows,57615001,FALSE,4401 N St. Highway 161,Irving,75038,Kindergarten,8,25,MSA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Life Christian Academy,57550001,FALSE,950 I-35E,Lancaster,75146,Pre-K,Pre-K,22,MSA : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
