,OBJECTID,Name,Tuition,Enrollment,PreK,Total,Address,City,State,Zip,County,Latitude,Longitude,GeoScore,GeoAddress,GeoRank,Grades,GlobalID,geometry,Voucher
305,306,MONA MONTESSORI GREENTREE BILLIANCE,0,90,20,110,4440 SIGMA RD,FARMERS BRANCH,TX,75244,DALLAS,32.9370652106,-96.8343599778,100.0,"4440 Sigma Rd, Dallas, Texas, 75244",20.0,,{6FB68749-A8F8-4285-B46D-2258A7F5576C},POINT (-96.8343599778 32.9370652106),1
306,307,MONTESSORI CHILDREN'S HOUSE & SCHOOL,0,20,70,90,7335 ABRAMS RD,DALLAS,TX,75231,DALLAS,32.8783340114,-96.741687477,100.0,"7335 Abrams Rd, Dallas, Texas, 75231",20.0,,{E0BE3EE3-F28B-4C69-906A-FD0FD61DAA26},POINT (-96.741687477 32.8783340114),1
307,308,MOUNT HEBRON CHRISTIAN ACADEMY,0,11,22,33,901 DAIRY RD,GARLAND,TX,75040,DALLAS,32.9053884898,-96.6216618925,100.0,"901 Dairy Rd, Garland, Texas, 75040",20.0,,{D588F0C7-182F-47B5-B385-293838006B67},POINT (-96.6216618925 32.9053884898),1
308,309,MOMENTOUS SCHOOL,0,190,56,246,106 E 10TH ST,DALLAS,TX,75203,DALLAS,32.7452366812,-96.8225533128,100.0,"106 E 10th St, Dallas, Texas, 75203",20.0,,{1A0F047F-0A0A-4508-A44D-37816EEF8BD3},POINT (-96.8225533128 32.7452366812),1
309,310,MOUNT ST MICHAEL CATHOLIC SCHOOL,0,109,20,129,PO BOX 225159,DALLAS,TX,75222,DALLAS,32.7684786,-96.8289944,98.0,"75222, Dallas, Texas",4.5,,{226486F7-BA5A-45EA-9B29-57AD0E2F9E7D},POINT (-96.8289944 32.7684786),1
311,312,NEW BEGINNERS PREPARATORY,0,200,0,200,7441 MARVIN D. LOVE FRWY STE 300,DALLAS,TX,75237,DALLAS,32.6572925796,-96.8756690979,100.0,"7441 Marvin D Love Fwy, Ste 300, Dallas, Texas, 75237",20.0,,{1DE9C0FF-2F93-4C61-9B66-B5ADABB3B0C4},POINT (-96.8756690979 32.6572925796),1
314,315,NOTRE DAME SCHOOL,0,153,0,153,2018 ALLEN ST,DALLAS,TX,75204,DALLAS,32.7955558443,-96.7958461385,100.0,"2018 Allen St, Dallas, Texas, 75204",20.0,,{7CBB54EA-6D12-45E7-B4E9-940AB520E541},POINT (-96.7958461385 32.7955558443),1
315,316,OAK HILL ACADEMY,0,154,12,166,9407 MIDWAY RD,DALLAS,TX,75220,DALLAS,32.8676669918,-96.8380151581,100.0,"9407 Midway Rd, Dallas, Texas, 75220",20.0,,{332E8220-40B8-42C8-A323-050D88C5002A},POINT (-96.8380151581 32.8676669918),1
316,317,OUR LADY OF PERPETUAL HELP SCHOOL,0,161,34,195,7625 CORTLAND AVE,DALLAS,TX,75235,DALLAS,32.8364420342,-96.8523946209,100.0,"7625 Cortland Ave, Dallas, Texas, 75235",20.0,,{C28D3DE0-7EE8-40BA-A2AC-1B8A6E7C91D5},POINT (-96.8523946209 32.8364420342),1
317,318,OUR REDEEMER LUTHERAN SCHOOL,0,66,37,103,7611 PARK LN,DALLAS,TX,75225,DALLAS,32.8719474621,-96.7752450131,100.0,"7611 Park Ln, Dallas, Texas, 75225",20.0,,{475646BD-F531-4CBB-AAF2-C38902686759},POINT (-96.7752450131 32.8719474621),1
318,319,OAK CREST PRIVATE SCHOOL,0,37,8,45,1200 E JACKSON RD BLDG 2,CARROLLTON,TX,75006,DALLAS,32.9756024773,-96.9030759935,100.0,"1200 E Jackson Rd, Carrollton, Texas, 75006",20.0,,{3AD0444F-65C1-4452-B324-69A45616C6D6},POINT (-96.9030759935 32.9756024773),1
320,321,PRIMROSE SCHOOL OF LAS COLINAS,0,14,139,153,700 FLUOR DR,IRVING,TX,75039,DALLAS,32.9000866008,-96.9569794261,100.0,"700 Fluor Dr, Irving, Texas, 75039",20.0,,{53F3F758-C173-4D42-A78B-8BBD0AAB8200},POINT (-96.9569794261 32.9000866008),1
321,322,PRESTON HOLLOW PRSBYTRN SCHOOL,0,128,220,348,9800 PRESTON RD,DALLAS,TX,75230,DALLAS,32.88133599,-96.8039024886,100.0,"9800 Preston Rd, Dallas, Texas, 75230",20.0,,{0A985A6A-83AD-448B-B53F-F72D5653548F},POINT (-96.8039024886 32.88133599),1
323,324,PRIMROSE SCHOOL OF VALLEY RANCH,0,15,40,55,577 CIMARRON TRL,IRVING,TX,75063,DALLAS,32.9329574494,-96.9538399842,100.0,"577 Cimarron Trl, Irving, Texas, 75063",20.0,,{E78CD58E-5764-4A90-B5EF-71D1977A4310},POINT (-96.9538399842 32.9329574494),1
325,326,PROVIDENCE CHRISTIAN SCHOOL,18350,434,20,462,5040 W LOVERS LN,DALLAS,TX,75209,DALLAS,32.8511987314,-96.8245655563,100.0,"5040 W Lovers Ln, Dallas, Texas, 75209",20.0,Pre-K-8,{7D3AB607-8B22-4752-8388-121976A71C38},POINT (-96.8245655563 32.8511987314),1
326,327,PRIMROSE SCHOOL OF ROWLETT,0,10,35,45,8401 LIBERTY GROVE RD,ROWLETT,TX,75089,DALLAS,32.9343848456,-96.5388865753,100.0,"8401 Liberty Grove Rd, Rowlett, Texas, 75089",20.0,,{ABEDF4F4-E7ED-43BB-BA3B-720F411F4B41},POINT (-96.5388865753 32.9343848456),1
327,328,PROVIDENCE CHRISTIAN SCHOOL OF TEXAS,18350,420,36,476,5002 W LOVERS LN,DALLAS,TX,75209,DALLAS,32.8511526728,-96.8254172415,100.0,"5002 W Lovers Ln, Dallas, Texas, 75209",20.0,Pre-K-8,{B170BB3A-E04B-47ED-8D35-9038FBEA3CE7},POINT (-96.8254172415 32.8511526728),1
328,329,QALAM COLLEGIATE ACADEMY,0,48,0,48,"1111 DIGITAL DR, STE 101",RICHARDSON,TX,75081,DALLAS,32.9732280099,-96.7054547727,100.0,"1111 Digital Dr, Richardson, Texas, 75081",20.0,,{15900138-FED1-4BBF-B3BD-78C2374116D1},POINT (-96.7054547727 32.9732280099),1
329,330,REDEEMER MONTESSORI SCHOOL,0,60,77,137,2700 WARREN CIR,IRVING,TX,75062,DALLAS,32.8438633507,-96.9439575528,100.0,"2700 Warren Cir, Irving, Texas, 75062",20.0,,{8F08F0E3-FEEB-463A-BB82-2467AA19A8BB},POINT (-96.9439575528 32.8438633507),1
330,331,RADIANT STEM ACADEMY,0,198,40,238,2001 W WALNUT HILL LN,IRVING,TX,75038,DALLAS,32.868894312,-96.9716013209,100.0,"2001 W Walnut Hill Ln, Irving, Texas, 75038",20.0,,{4B6C2765-9ECB-4BD0-AA1A-5B0829AAC9C9},POINT (-96.9716013209 32.868894312),1
332,333,RESOLUTE ACADEMY,0,86,0,86,3131 MCKINNEY AVE STE 600,DALLAS,TX,75204,DALLAS,32.8025448848,-96.8005777229,100.0,"3131 McKinney Ave, Ste 600, Dallas, Texas, 75204",20.0,,{99280470-6E68-42BA-9CB4-51AC9BA65B6F},POINT (-96.8005777229 32.8025448848),1
333,334,SANTA CLARA OF ASSISI SCHOOL,0,189,64,253,321 CALUMET AVE STE B,DALLAS,TX,75211,DALLAS,32.7433541502,-96.8940592163,100.0,"321 Calumet Ave, Dallas, Texas, 75211",20.0,,{6FE88BA7-3E0A-4F37-83AE-9ED5468D3D56},POINT (-96.8940592163 32.7433541502),1
334,335,SALAM ACADEMY,0,142,17,159,735 N PLANO RD STE 100,RICHARDSON,TX,75081,DALLAS,32.9584259146,-96.7000332661,100.0,"735 N Plano Rd, Richardson, Texas, 75081",20.0,,{BFA656FC-1E2F-4722-A494-7F4D6766174E},POINT (-96.7000332661 32.9584259146),1
339,340,SHELTON SCHOOL,32600,889,20,909,15720 HILLCREST RD,DALLAS,TX,75248,DALLAS,32.9631830114,-96.7862724964,100.0,"15720 Hillcrest Rd, Dallas, Texas, 75248",20.0,,{60CAA3C5-71A5-4015-A92E-F923B803CF78},POINT (-96.7862724964 32.9631830114),1
